PC1,PC2,Cluster,Original Class
3.3167508122147753,1.4434626343180106,2,class_0
2.209464916918847,-0.3333928870802985,2,class_0
2.516740146610381,1.0311512962743195,2,class_0
3.7570656097732034,2.756371913710713,2,class_0
1.0089084937957147,0.8698308214172041,2,class_0
3.050253922418077,2.1224011146341923,2,class_0
2.449089669596228,1.1748501316494755,2,class_0
2.0594368714379123,1.6089630683635074,2,class_0
2.510874297398987,0.9180709573337794,2,class_0
2.7536281876339075,0.7894376738336083,2,class_0
3.479736682731209,1.302333237123596,2,class_0
1.7547529012945875,0.6119772287456328,2,class_0
2.113462340315094,0.6757063391426196,2,class_0
3.45815681933672,1.13062987617294,2,class_0
4.312783906765558,2.095975575341263,2,class_0
2.30518820082797,1.6625517299890555,2,class_0
2.17195527374151,2.32730533619142,2,class_0
1.898971176562759,1.6313688786428382,2,class_0
3.5419850819434653,2.5183436693066468,2,class_0
2.084522204730311,1.0611379935838605,2,class_0
3.1244025351671993,0.786897105650897,2,class_0
1.08657006833224,0.24174355133283912,2,class_0
2.5352240799037142,-0.09184062072087926,2,class_0
1.6449883412544695,-0.5162789300672347,2,class_0
1.7615758722693005,-0.31714893268438055,2,class_0
0.9900791016088551,0.9406673381906328,2,class_0
1.7752776281133675,0.6861751342850241,2,class_0
1.235423964309905,-0.08980704136063884,2,class_0
2.18840633445196,0.6895696206616245,2,class_0
2.2561089812837065,0.1914619368866669,2,class_0
2.5002200257894236,1.2408338348969434,2,class_0
2.6774110474440125,1.4718736461032496,2,class_0
1.6285791164309176,0.05270445057532463,2,class_0
1.9026908622381458,1.6330604347699833,2,class_0
1.410388526595405,0.697934324611357,2,class_0
1.9038262321944859,0.17671095109545706,2,class_0
1.3848622303748377,0.658639853661149,2,class_0
1.1222074104413096,0.11410976029688834,2,class_0
1.5021945006181916,-0.7694320064310067,2,class_0
2.5298010923718093,1.8030019760618292,2,class_0
2.5880954258544016,0.7796163041925088,2,class_0
0.6684819937541858,0.1699609406198755,2,class_0
3.070806990412006,1.1559189566098846,2,class_0
0.4622091375160068,0.330742132192275,2,class_0
2.1013519305380153,-0.07100892095406527,2,class_0
1.1361661775610161,1.7771073929776378,2,class_0
2.7266009636408013,1.1913346919571854,2,class_0
2.821339274192247,0.6462585991417057,2,class_0
2.0098508509123567,1.2470294606787615,2,class_0
2.7074913042663913,1.7519674072063385,2,class_0
3.214917474773822,0.16699199499679288,2,class_0
2.8589598267172915,0.7452788039895893,2,class_0
3.5056043559232215,1.6127338560350124,2,class_0
2.224791380532171,1.8751679995630246,2,class_0
2.146987823563865,1.0167515377576613,2,class_0
2.4693294837977864,1.3290083106496229,2,class_0
2.741517914277451,1.436548783512516,2,class_0
2.1737409209653054,1.2121998406977943,2,class_0
3.139380151828993,1.7315791159925136,2,class_0
-0.9285819689218525,-3.073486163188926,0,class_1
-1.5424801378968793,-1.3814435080942282,0,class_1
-1.8362497634669392,-0.8299841230557174,1,class_1
0.030606834086680492,-1.2627861442114006,0,class_1
2.0502616075763163,-1.9250326046500987,0,class_1
-0.609680827177621,-1.9080588050851872,0,class_1
0.9002278387071432,-0.7639114736096086,0,class_1
2.2485071907983953,-1.8845924845501298,0,class_1
0.18338402668475712,-2.427146114703569,0,class_1
-0.8128050273520715,-0.22051398690226864,0,class_1
1.9756204987985544,-1.4032832253096121,0,class_1
-1.5722162196262992,-0.8849831369082222,0,class_1
1.6576818088332892,-0.9567121974591478,0,class_1
-0.7253723880353549,-1.0636454007060936,0,class_1
2.5622271731703603,0.26019855065459657,2,class_1
